type_number,classification,sample_article,ean,supplierName,updated_without_type,updated_with_type
"50005006508","read_only_or_ignored","500050065080560","5708628288200","MASCOT","0","0"
"50305032849","read_only_or_ignored","503050328498420","8717575259475","HAVEP","0","0"
"50705001600","read_only_or_ignored","507050016009334","8718732001227","247 JEANS","0","0"
"50505006500","read_only_or_ignored","505050065001660","8718326007529","TRICORP","0","0"
"50505006502","read_only_or_ignored","505050065020660","8718326007772","TRICORP","0","0"
"50505006504","read_only_or_ignored","505050065040660","8718326007680","TRICORP","0","0"
"50505006506","read_only_or_ignored","505050065060660","8718326007864","TRICORP","0","0"
"50505006507","read_only_or_ignored","505050065071660","8718326007277","TRICORP","0","0"
"50505006508","read_only_or_ignored","505050065080660","8718326007185","TRICORP","0","0"
"50505006509","read_only_or_ignored","505050065097660","8718326007017","TRICORP","0","0"
"50505006519","read_only_or_ignored","505050065190660","8718326007369","TRICORP","0","0"
"51806000130","updateable_without_type","518060001302460","5036108214891","PORTWEST","1","0"
"51806000502","updateable_without_type","518060005020580","5036108217649","PORTWEST","1","0"
"51806000503","updateable_without_type","518060005030620","5036108249510","PORTWEST","1","0"
"51806000504","updateable_without_type","518060005040580","5036108213252","PORTWEST","1","0"
"51806000505","updateable_without_type","518060005050560","5036108189113","PORTWEST","1","0"
"51806000506","updateable_without_type","518060005060580","5036108274284","PORTWEST","1","0"
"51806001225","updateable_without_type","518060012258580","5036108253319","PORTWEST","1","0"
"51806001705","updateable_without_type","518060017050580","5036108125647","PORTWEST","1","0"
"51806001205","updateable_without_type","518060012050520","5036108129805","PORTWEST","1","0"
"51806001305","updateable_without_type","518060013050520","0","PORTWEST","1","0"
"51806001310","updateable_without_type","518060013100660","0","PORTWEST","1","0"
"10001000109","updateable_without_type","100010001099400","8054085183839","SIXTON","1","0"
"10001000200","updateable_without_type","100010002001400","8054085183969","SIXTON","1","0"
"10001000508","updateable_without_type","100010005080470","8051772576998","SIXTON","1","0"
"10001000808","updateable_without_type","100010008080390","8054085182191","SIXTON","1","0"
"10001000911","updateable_without_type","100010009116410","8054085185901","SIXTON","1","0"
"10001001208","updateable_without_type","100010012080390","8033959351574","SIXTON","1","0"
"10001001308","updateable_without_type","100010013080390","8033959351444","SIXTON","1","0"
"10001001408","updateable_without_type","100010014080390","8033737023143","SIXTON","1","0"
"10001001708","updateable_without_type","100010017080400","8033737022139","SIXTON","1","0"
"10001001808","updateable_without_type","100010018080390","8033737026830","SIXTON","1","0"
"10001002108","updateable_without_type","100010021080480","8033737026229","SIXTON","1","0"
"10001002211","updateable_without_type","100010022110410","8033737025932","SIXTON","1","0"
"10001002308","updateable_without_type","100010023080420","8033737026274","SIXTON","1","0"
"10001002608","updateable_without_type","100010026080400","8033737025598","SIXTON","1","0"
"10001003211","updateable_without_type","100010032110480","8033737029237","SIXTON","1","0"
"10001003408","updateable_without_type","100010034080400","8051772574109","SIXTON","1","0"
"10001003508","updateable_without_type","100010035080400","8033737028933","SIXTON","1","0"
"10001003611","updateable_without_type","100010036110400","8033959350805","SIXTON","1","0"
"10001003708","updateable_without_type","100010037080400","8033959354520","SIXTON","1","0"
"10001003811","updateable_without_type","100010038110400","8033959352342","SIXTON","1","0"
"10001004011","updateable_without_type","100010040110400","8033959352564","SIXTON","1","0"
"10001005608","updateable_without_type","100010056080400","8033737029633","SIXTON","1","0"
"10001005808","updateable_without_type","100010058080400","8033737029879","SIXTON","1","0"
"10001005938","updateable_without_type","100010059383380","8054085181675","SIXTON","1","0"
"10001006038","updateable_without_type","100010060383370","8033959352205","SIXTON","1","0"
"10001006138","updateable_without_type","100010061383370","8033959356210","SIXTON","1","0"
"10001006208","updateable_without_type","100010062080490","8054085181781","SIXTON","1","0"
"10001006408","updateable_without_type","100010064080360","8051772576035","SIXTON","1","0"